id|question|1|2|3|4|right_v|q_type|rating
0|Укажите два числа в продолжение ряда (через запятую, без пробелов):~1, 1, 2, 3, 5, 8, 13, 21, ...|33, 59|31, 50|34, 55|30, 51|34, 55|options|1
1|Укажите два числа в продолжение ряда (через запятую, без пробелов):~5, 7, 11, 13, 17, 19, 23, 29, ...|31,37|32, 39|36, 41|31, 40|31,37|options|2
2|Каким будет следующий числовой ряд?~1~11~21~1211~111221~312211~13112221~...|||||1113213211|enter|3
3|Сколько байт в 3 Кбайт?|||||3072|enter|4
4|Переведите число 34 из десятичной системы в двоичную.~Ответ запишите последовательностью цифр 1 и 0|||||100010|enter|5
5|Сколько знаков в двоичной записи шестнадцатиричного числа FE123?|||||20|enter|6
6|Сколько различных символов можно закодировать тройкой из нулей и единиц?|8|6|5|9|8|options|7
7|Из каких знаков состоит восьмеричная система счисления?|0,1,2,3,4,5,6,7|1,2,3,4,5,6,7,8,9|0,1,2,3,4,5,6,7,8,9|00,01,10,11,000,001|0,1,2,3,4,5,6,7|options|8
8|Даны 5 целых чисел, записанных в двоичной системе:~101, 110, 1110, 1011~Сколько среди них чисел, больших A (в 16-ричной системе)?|1|2|3|4|2|options|9
9|Для какого из приведённых чисел истинно высказывание:~НЕ (число <50) И (число чётное)?|24|45|74|99|74|options|10
10|Вычислите значение переменной А в результате работы программы:~Начало программы~А = 1;~Б = 2;~Для В от 1 до 10 с шагом 1 выполнить:~А = А + Б;~Конец цикла;~А = А*2;~Конец программы.~Подсказка: ответ на главный вопрос вселенной.|||||42|enter|11
11|Вычислите значение переменной А в результате работы программы:~Начало программы~А = 3;~Б = 7;~Если (А+Б > А*Б) ИЛИ (А-Б > А*Б) тогда~Для В от 5 до 1 с шагом -1 выполнить:~А = 2*А + Б;~Конец цикла;~Иначе~Для В от 10 до 2 с шагом -2 выполнить:~А = 2*А + Б;~Конец цикла;~Конец условия;~Конец программы.|||||313|enter|12
12|Вычислите значение переменной А в результате работы программы:~Начало программы~А, Б - массивы из 5 целых чисел, индексы от 1 до 5;~Для В от 1 до 5 с шагом 1 выполнить:~А(В) = В * 2;~Б(В) = А(В) * 2;~Конец цикла;~А = А(3) + Б(4);~Конец программы.|||||22|enter|13
13|Укажите форматы, которые относятся к графическим файлам:|*.gif, *.jpg|*.wav, *.mp3|*.doc, *.txt|*.csv, *.tsv|*.gif, *.jpg|options|14
14|У исполнителя Отличник две команды, которым присвоены номера:~1. Прибавь 1~2. Умножь на 5~Выполняя первую из них, Отличник прибавляет к числу на экране 1,~а выполняя вторую, умножает его на 5. ~Например, программа 1211 – это программа:~Прибавь 1, умножь на 5, прибавь 1, прибавь 1.~Запишите порядок команд в программе, которая~ из числа 2 получает число 101 и содержит не более 5 команд.~Указывайте лишь номера команд|||||11221|enter|15
15|Вычислите:~101011+100111=~Все числа предоставленны в 2-ичной с.с. Ответ дайте в 2-ичной с.с|||||1010010|enter|16
16|Дубараторы бывают либо хорошими, либо плохими.~Неправда, что этот дубаратор не плохой|он хороший|он не очень|он средненький|он плохой|он плохой|options|17
17|Вычислите результат выполнения логического выражения:~истина ИЛИ (ложь ИЛИ ложь) И истина~Ответ запишите с помощью слов "истина" или "ложь"|||||истина|enter|18
18|Вычислите результат выполнения логического выражения:~НЕ (истина) И НЕ (ложь) <-> ложь И истина~Ответ запишите с помощью слов "истина" или "ложь"|||||истина|enter|19
19|В языке запросов поискового сервера используются логические~операции «ИЛИ» и «И».~Ниже приведены запросы и количество найденных по ним страниц.~Гомер И Илиада - 100~Гомер И Одиссея - 250~Гомер И (Илиада ИЛИ Одиссея) - 305~Сколько страниц вернёт запрос:~Гомер И Илиада И Одиссея?|||||45|enter|20
20|А больше Б в 10 раз, Б меньше В в 5 раз|B > A| A >  B| A = B|Все неверно| A >  B|options| 21
21|Во время марафона вы обогнали спортсмена, который бежал вторым.~Какую позицию вы теперь занимаете?|1-ую|2-ую|3-ую|Такое невозможно|2-ую|options|22
22|Вы участвуете в марафоне и обогнали бегуна, бежавшего последним.~Какую позицию вы теперь занимаете?|Предпоследнюю|Последнюю|Я победил!|Такое невозможно|Такое невозможно|options|23
23|Пациенту нужно проглотить три таблетки, по одной каждые полчаса.~Сколько понадобится времени?|Полчаса|Час|Полтора часа|Два часа|Час|options|24
24|Для какого из приведённых чисел истинно высказывание?~НЕ (Первая цифра чётная) И (Последняя цифра нечётная)|1234|6843|3561|4562|3561|options|25
25|Три сестры, Анастасия, Екатерина и Анна, преподают различные предметы~в колледжах~Москвы, Берлина и Амстердама.~Анастасия работает не в Москве, а Екатерина — не в Берлине.~Та, кто живет в Москве, преподает не философию.~Та, кто работает в Берлине, преподает высшую математику.~Екатерина преподает не психологию. Какую дисциплину преподает Анна~, и в колледже какого города?~Ответ введите в формате: дисциплина, Город.~Пример: "высшая математика, Берлин"|||||психология, Москва|enter|26
26|Сколько слов длины 5, начинающихся с гласной буквы,~можно составить из букв Е, Г, Э?~Каждая буква может входить в слово несколько раз.~Слова не обязательно должны быть осмысленными словами русского языка|162|138|256|164|162|options|27
27|Сколько слов длины 6, начинающихся с согласной буквы,~можно составить из букв Г, О, Д?~Каждая буква может входить в слово несколько раз.~Слова не обязательно должны быть осмысленными словами русского языка|243|486|250|286|486|options|28
